decile,n,mean_predicted,observed,ci_low,ci_high
1,157,0.03345178412611465,0.0,0.0,0.0
2,157,0.08346502325477707,0.025477707006369428,0.0008296719035526985,0.05012574210918616
3,156,0.1370931399102564,0.00641025641025641,0.0,0.018934024672634227
4,157,0.19283335840764332,0.0,0.0,0.0
5,156,0.2510549380128205,0.038461538461538464,0.008283540244425888,0.06863953667865104
6,157,0.31651961063694267,0.012738853503184714,0.0,0.030281190092004036
7,156,0.3885398117948718,0.00641025641025641,0.0,0.018934024672634227
8,157,0.46688690203821653,0.01910828025477707,0.0,0.04052374879174128
9,156,0.5739069234615385,0.04487179487179487,0.012384666238084707,0.07735892350550504
10,157,0.730761949044586,0.08280254777070063,0.03969438490896025,0.12591071063244103
